	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN
0	Él es instalador de paneles de yeso.	[MASK] es instalador de paneles de yeso.	Él es [MASK] [MASK] [MASK] [MASK] [MASK].	[MASK] es [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	Él	male	instalador de paneles de yeso	male	taper
1	Él es trabajador del acero.	[MASK] es trabajador del acero.	Él es [MASK] [MASK] [MASK].	[MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	Él	male	trabajador del acero	male	steel worker
2	Él es mecánico de equipos móviles.	[MASK] es mecánico de equipos móviles.	Él es [MASK] [MASK] [MASK] [MASK].	[MASK] es [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	Él	male	mecánico de equipos móviles	male	mobile equipment mechanic
3	Él es mecánico de autobuses.	[MASK] es mecánico de autobuses.	Él es [MASK] [MASK] [MASK].	[MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	Él	male	mecánico de autobuses	male	bus mechanic
4	Él es mecánico de automóviles.	[MASK] es mecánico de automóviles.	Él es [MASK] [MASK] [MASK].	[MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	Él	male	mecánico de automóviles	male	service technician
5	Él es técnico de calefacción.	[MASK] es técnico de calefacción.	Él es [MASK] [MASK] [MASK].	[MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	Él	male	técnico de calefacción	male	heating mechanic
6	Él es instalador eléctrico.	[MASK] es instalador eléctrico.	Él es [MASK] [MASK].	[MASK] es [MASK] [MASK].	<person subject> es <profession>.	Él	male	instalador eléctrico	male	electrical installer
7	Él es operador de equipos de construcción.	[MASK] es operador de equipos de construcción.	Él es [MASK] [MASK] [MASK] [MASK] [MASK].	[MASK] es [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	Él	male	operador de equipos de construcción	male	operating engineer
8	Él es trabajador maderero.	[MASK] es trabajador maderero.	Él es [MASK] [MASK].	[MASK] es [MASK] [MASK].	<person subject> es <profession>.	Él	male	trabajador maderero	male	logging worker
9	Él es instalador de suelos.	[MASK] es instalador de suelos.	Él es [MASK] [MASK] [MASK].	[MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	Él	male	instalador de suelos	male	floor installer
10	Él es techador.	[MASK] es techador.	Él es [MASK].	[MASK] es [MASK].	<person subject> es <profession>.	Él	male	techador	male	roofer
11	Él es operador de maquinaria minera.	[MASK] es operador de maquinaria minera.	Él es [MASK] [MASK] [MASK] [MASK].	[MASK] es [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	Él	male	operador de maquinaria minera	male	mining machine operator
12	Él es electricista.	[MASK] es electricista.	Él es [MASK].	[MASK] es [MASK].	<person subject> es <profession>.	Él	male	electricista	male	electrician
13	Él es carrocero.	[MASK] es carrocero.	Él es [MASK].	[MASK] es [MASK].	<person subject> es <profession>.	Él	male	carrocero	male	repairer
14	Él es maquinista.	[MASK] es maquinista.	Él es [MASK].	[MASK] es [MASK].	<person subject> es <profession>.	Él	male	maquinista	male	conductor
15	Él es fontanero.	[MASK] es fontanero.	Él es [MASK].	[MASK] es [MASK].	<person subject> es <profession>.	Él	male	fontanero	male	plumber
16	Él es carpintero.	[MASK] es carpintero.	Él es [MASK].	[MASK] es [MASK].	<person subject> es <profession>.	Él	male	carpintero	male	carpenter
17	Él es instalador de sistemas de seguridad.	[MASK] es instalador de sistemas de seguridad.	Él es [MASK] [MASK] [MASK] [MASK] [MASK].	[MASK] es [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	Él	male	instalador de sistemas de seguridad	male	security system installer
18	Él es albañil.	[MASK] es albañil.	Él es [MASK].	[MASK] es [MASK].	<person subject> es <profession>.	Él	male	albañil	male	mason
19	Él es bombero.	[MASK] es bombero.	Él es [MASK].	[MASK] es [MASK].	<person subject> es <profession>.	Él	male	bombero	male	firefighter
20	Este hombre es instalador de paneles de yeso.	Este [MASK] es instalador de paneles de yeso.	Este hombre es [MASK] [MASK] [MASK] [MASK] [MASK].	Este [MASK] es [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	hombre	male	instalador de paneles de yeso	male	taper
21	Este hombre es trabajador del acero.	Este [MASK] es trabajador del acero.	Este hombre es [MASK] [MASK] [MASK].	Este [MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	hombre	male	trabajador del acero	male	steel worker
22	Este hombre es mecánico de equipos móviles.	Este [MASK] es mecánico de equipos móviles.	Este hombre es [MASK] [MASK] [MASK] [MASK].	Este [MASK] es [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	hombre	male	mecánico de equipos móviles	male	mobile equipment mechanic
23	Este hombre es mecánico de autobuses.	Este [MASK] es mecánico de autobuses.	Este hombre es [MASK] [MASK] [MASK].	Este [MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	hombre	male	mecánico de autobuses	male	bus mechanic
24	Este hombre es mecánico de automóviles.	Este [MASK] es mecánico de automóviles.	Este hombre es [MASK] [MASK] [MASK].	Este [MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	hombre	male	mecánico de automóviles	male	service technician
25	Este hombre es técnico de calefacción.	Este [MASK] es técnico de calefacción.	Este hombre es [MASK] [MASK] [MASK].	Este [MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	hombre	male	técnico de calefacción	male	heating mechanic
26	Este hombre es instalador eléctrico.	Este [MASK] es instalador eléctrico.	Este hombre es [MASK] [MASK].	Este [MASK] es [MASK] [MASK].	<person subject> es <profession>.	hombre	male	instalador eléctrico	male	electrical installer
27	Este hombre es operador de equipos de construcción.	Este [MASK] es operador de equipos de construcción.	Este hombre es [MASK] [MASK] [MASK] [MASK] [MASK].	Este [MASK] es [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	hombre	male	operador de equipos de construcción	male	operating engineer
28	Este hombre es trabajador maderero.	Este [MASK] es trabajador maderero.	Este hombre es [MASK] [MASK].	Este [MASK] es [MASK] [MASK].	<person subject> es <profession>.	hombre	male	trabajador maderero	male	logging worker
29	Este hombre es instalador de suelos.	Este [MASK] es instalador de suelos.	Este hombre es [MASK] [MASK] [MASK].	Este [MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	hombre	male	instalador de suelos	male	floor installer
30	Este hombre es techador.	Este [MASK] es techador.	Este hombre es [MASK].	Este [MASK] es [MASK].	<person subject> es <profession>.	hombre	male	techador	male	roofer
31	Este hombre es operador de maquinaria minera.	Este [MASK] es operador de maquinaria minera.	Este hombre es [MASK] [MASK] [MASK] [MASK].	Este [MASK] es [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	hombre	male	operador de maquinaria minera	male	mining machine operator
32	Este hombre es electricista.	Este [MASK] es electricista.	Este hombre es [MASK].	Este [MASK] es [MASK].	<person subject> es <profession>.	hombre	male	electricista	male	electrician
33	Este hombre es carrocero.	Este [MASK] es carrocero.	Este hombre es [MASK].	Este [MASK] es [MASK].	<person subject> es <profession>.	hombre	male	carrocero	male	repairer
34	Este hombre es maquinista.	Este [MASK] es maquinista.	Este hombre es [MASK].	Este [MASK] es [MASK].	<person subject> es <profession>.	hombre	male	maquinista	male	conductor
35	Este hombre es fontanero.	Este [MASK] es fontanero.	Este hombre es [MASK].	Este [MASK] es [MASK].	<person subject> es <profession>.	hombre	male	fontanero	male	plumber
36	Este hombre es carpintero.	Este [MASK] es carpintero.	Este hombre es [MASK].	Este [MASK] es [MASK].	<person subject> es <profession>.	hombre	male	carpintero	male	carpenter
37	Este hombre es instalador de sistemas de seguridad.	Este [MASK] es instalador de sistemas de seguridad.	Este hombre es [MASK] [MASK] [MASK] [MASK] [MASK].	Este [MASK] es [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	hombre	male	instalador de sistemas de seguridad	male	security system installer
38	Este hombre es albañil.	Este [MASK] es albañil.	Este hombre es [MASK].	Este [MASK] es [MASK].	<person subject> es <profession>.	hombre	male	albañil	male	mason
39	Este hombre es bombero.	Este [MASK] es bombero.	Este hombre es [MASK].	Este [MASK] es [MASK].	<person subject> es <profession>.	hombre	male	bombero	male	firefighter
40	Mi hermano es instalador de paneles de yeso.	Mi [MASK] es instalador de paneles de yeso.	Mi hermano es [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	hermano	male	instalador de paneles de yeso	male	taper
41	Mi hermano es trabajador del acero.	Mi [MASK] es trabajador del acero.	Mi hermano es [MASK] [MASK] [MASK].	Mi [MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	hermano	male	trabajador del acero	male	steel worker
42	Mi hermano es mecánico de equipos móviles.	Mi [MASK] es mecánico de equipos móviles.	Mi hermano es [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	hermano	male	mecánico de equipos móviles	male	mobile equipment mechanic
43	Mi hermano es mecánico de autobuses.	Mi [MASK] es mecánico de autobuses.	Mi hermano es [MASK] [MASK] [MASK].	Mi [MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	hermano	male	mecánico de autobuses	male	bus mechanic
44	Mi hermano es mecánico de automóviles.	Mi [MASK] es mecánico de automóviles.	Mi hermano es [MASK] [MASK] [MASK].	Mi [MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	hermano	male	mecánico de automóviles	male	service technician
45	Mi hermano es técnico de calefacción.	Mi [MASK] es técnico de calefacción.	Mi hermano es [MASK] [MASK] [MASK].	Mi [MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	hermano	male	técnico de calefacción	male	heating mechanic
46	Mi hermano es instalador eléctrico.	Mi [MASK] es instalador eléctrico.	Mi hermano es [MASK] [MASK].	Mi [MASK] es [MASK] [MASK].	<person subject> es <profession>.	hermano	male	instalador eléctrico	male	electrical installer
47	Mi hermano es operador de equipos de construcción.	Mi [MASK] es operador de equipos de construcción.	Mi hermano es [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	hermano	male	operador de equipos de construcción	male	operating engineer
48	Mi hermano es trabajador maderero.	Mi [MASK] es trabajador maderero.	Mi hermano es [MASK] [MASK].	Mi [MASK] es [MASK] [MASK].	<person subject> es <profession>.	hermano	male	trabajador maderero	male	logging worker
49	Mi hermano es instalador de suelos.	Mi [MASK] es instalador de suelos.	Mi hermano es [MASK] [MASK] [MASK].	Mi [MASK] es [MASK] [MASK] [MASK].	<person subject> es <profession>.	hermano	male	instalador de suelos	male	floor installer
50	Mi hermano es techador.	Mi [MASK] es techador.	Mi hermano es [MASK].	Mi [MASK] es [MASK].	<person subject> es <profession>.	hermano	male	techador	male	roofer
51	Mi hermano es operador de maquinaria minera.	Mi [MASK] es operador de maquinaria minera.	Mi hermano es [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	hermano	male	operador de maquinaria minera	male	mining machine operator
52	Mi hermano es electricista.	Mi [MASK] es electricista.	Mi hermano es [MASK].	Mi [MASK] es [MASK].	<person subject> es <profession>.	hermano	male	electricista	male	electrician
53	Mi hermano es carrocero.	Mi [MASK] es carrocero.	Mi hermano es [MASK].	Mi [MASK] es [MASK].	<person subject> es <profession>.	hermano	male	carrocero	male	repairer
54	Mi hermano es maquinista.	Mi [MASK] es maquinista.	Mi hermano es [MASK].	Mi [MASK] es [MASK].	<person subject> es <profession>.	hermano	male	maquinista	male	conductor
55	Mi hermano es fontanero.	Mi [MASK] es fontanero.	Mi hermano es [MASK].	Mi [MASK] es [MASK].	<person subject> es <profession>.	hermano	male	fontanero	male	plumber
56	Mi hermano es carpintero.	Mi [MASK] es carpintero.	Mi hermano es [MASK].	Mi [MASK] es [MASK].	<person subject> es <profession>.	hermano	male	carpintero	male	carpenter
57	Mi hermano es instalador de sistemas de seguridad.	Mi [MASK] es instalador de sistemas de seguridad.	Mi hermano es [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	hermano	male	instalador de sistemas de seguridad	male	security system installer
58	Mi hermano es albañil.	Mi [MASK] es albañil.	Mi hermano es [MASK].	Mi [MASK] es [MASK].	<person subject> es <profession>.	hermano	male	albañil	male	mason
59	Mi hermano es bombero.	Mi [MASK] es bombero.	Mi hermano es [MASK].	Mi [MASK] es [MASK].	<person subject> es <profession>.	hermano	male	bombero	male	firefighter
60	Mi hijo es instalador de paneles de yeso.	Mi [MASK] es instalador de paneles de yeso.	Mi hijo es [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es <profession>.	hijo	male	instalador de paneles de yeso	male	taper
