	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Persemeak	Gender	Profession	Prof_Gender	Profession_EN
0	Bera igeltsuzko panel instalatzailea da.	[MASK] igeltsuzko panel instalatzailea da.	Bera [MASK] [MASK] [MASK] da.	[MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	igeltsuzko panel instalatzailea	male	taper
1	Bera altzairu langilea da.	[MASK] altzairu langilea da.	Bera [MASK] [MASK] da.	[MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	altzairu langilea	male	steel worker
2	Bera ekipamendu mugikorreko mekanikaria da.	[MASK] ekipamendu mugikorreko mekanikaria da.	Bera [MASK] [MASK] [MASK] da.	[MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	ekipamendu mugikorreko mekanikaria	male	mobile equipment mechanic
3	Bera autobus mekanikaria da.	[MASK] autobus mekanikaria da.	Bera [MASK] [MASK] da.	[MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	autobus mekanikaria	male	bus mechanic
4	Bera auto mekanikaria da.	[MASK] auto mekanikaria da.	Bera [MASK] [MASK] da.	[MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	auto mekanikaria	male	service technician
5	Bera berogailu-teknikaria da.	[MASK] berogailu-teknikaria da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	berogailu-teknikaria	male	heating mechanic
6	Bera instalatzaile-elektrikoa da.	[MASK] instalatzaile-elektrikoa da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	instalatzaile-elektrikoa	male	electrical installer
7	Bera eraikuntza ekipoen operadorea da.	[MASK] eraikuntza ekipoen operadorea da.	Bera [MASK] [MASK] [MASK] da.	[MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	eraikuntza ekipoen operadorea	male	operating engineer
8	Bera egurketaria da.	[MASK] egurketaria da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	egurketaria	male	logging worker
9	Bera zoru-instalatzailea da.	[MASK] zoru-instalatzailea da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	zoru-instalatzailea	male	floor installer
10	Bera teilatu-emailea da.	[MASK] teilatu-emailea da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	teilatu-emailea	male	roofer
11	Bera meatzaritzako makina-operadorea da.	[MASK] meatzaritzako makina-operadorea da.	Bera [MASK] [MASK] da.	[MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	meatzaritzako makina-operadorea	male	mining machine operator
12	Bera elektrizista da.	[MASK] elektrizista da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	elektrizista	male	electrician
13	Bera karrozaegilea da.	[MASK] karrozaegilea da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	karrozaegilea	male	repairer
14	Bera tren-gidaria da.	[MASK] tren-gidaria da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	tren-gidaria	male	conductor
15	Bera iturgina da.	[MASK] iturgina da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	iturgina	male	plumber
16	Bera arotza da.	[MASK] arotza da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	arotza	male	carpenter
17	Bera segurtasun sistemako instalatzailea da.	[MASK] segurtasun sistemako instalatzailea da.	Bera [MASK] [MASK] [MASK] da.	[MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	segurtasun sistemako instalatzailea	male	security system installer
18	Bera igeltseroa da.	[MASK] igeltseroa da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	igeltseroa	male	mason
19	Bera suhiltzailea da.	[MASK] suhiltzailea da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	suhiltzailea	male	firefighter
200	Emakume hau igeltsuzko panel instalatzailea da.	[MASK] hau igeltsuzko panel instalatzailea da.	Emakume hau [MASK] [MASK] [MASK] da.	[MASK] hau [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Emakume	female	igeltsuzko panel instalatzailea	male	taper
201	Emakume hau altzairu langilea da.	[MASK] hau altzairu langilea da.	Emakume hau [MASK] [MASK] da.	[MASK] hau [MASK] [MASK] da.	<person subject> <profession> da.	Emakume	female	altzairu langilea	male	steel worker
202	Emakume hau ekipamendu mugikorreko mekanikaria da.	[MASK] hau ekipamendu mugikorreko mekanikaria da.	Emakume hau [MASK] [MASK] [MASK] da.	[MASK] hau [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Emakume	female	ekipamendu mugikorreko mekanikaria	male	mobile equipment mechanic
203	Emakume hau autobus mekanikaria da.	[MASK] hau autobus mekanikaria da.	Emakume hau [MASK] [MASK] da.	[MASK] hau [MASK] [MASK] da.	<person subject> <profession> da.	Emakume	female	autobus mekanikaria	male	bus mechanic
204	Emakume hau auto mekanikaria da.	[MASK] hau auto mekanikaria da.	Emakume hau [MASK] [MASK] da.	[MASK] hau [MASK] [MASK] da.	<person subject> <profession> da.	Emakume	female	auto mekanikaria	male	service technician
205	Emakume hau berogailu-teknikaria da.	[MASK] hau berogailu-teknikaria da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	berogailu-teknikaria	male	heating mechanic
206	Emakume hau instalatzaile-elektrikoa da.	[MASK] hau instalatzaile-elektrikoa da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	instalatzaile-elektrikoa	male	electrical installer
207	Emakume hau eraikuntza ekipoen operadorea da.	[MASK] hau eraikuntza ekipoen operadorea da.	Emakume hau [MASK] [MASK] [MASK] da.	[MASK] hau [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Emakume	female	eraikuntza ekipoen operadorea	male	operating engineer
208	Emakume hau egurketaria da.	[MASK] hau egurketaria da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	egurketaria	male	logging worker
209	Emakume hau zoru-instalatzailea da.	[MASK] hau zoru-instalatzailea da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	zoru-instalatzailea	male	floor installer
210	Emakume hau teilatu-emailea da.	[MASK] hau teilatu-emailea da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	teilatu-emailea	male	roofer
211	Emakume hau meatzaritzako makina-operadorea da.	[MASK] hau meatzaritzako makina-operadorea da.	Emakume hau [MASK] [MASK] da.	[MASK] hau [MASK] [MASK] da.	<person subject> <profession> da.	Emakume	female	meatzaritzako makina-operadorea	male	mining machine operator
212	Emakume hau elektrizista da.	[MASK] hau elektrizista da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	elektrizista	male	electrician
213	Emakume hau karrozaegilea da.	[MASK] hau karrozaegilea da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	karrozaegilea	male	repairer
214	Emakume hau tren-gidaria da.	[MASK] hau tren-gidaria da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	tren-gidaria	male	conductor
215	Emakume hau iturgina da.	[MASK] hau iturgina da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	iturgina	male	plumber
216	Emakume hau arotza da.	[MASK] hau arotza da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	arotza	male	carpenter
217	Emakume hau segurtasun sistemako instalatzailea da.	[MASK] hau segurtasun sistemako instalatzailea da.	Emakume hau [MASK] [MASK] [MASK] da.	[MASK] hau [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	Emakume	female	segurtasun sistemako instalatzailea	male	security system installer
218	Emakume hau igeltseroa da.	[MASK] hau igeltseroa da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	igeltseroa	male	mason
219	Emakume hau suhiltzailea da.	[MASK] hau suhiltzailea da.	Emakume hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Emakume	female	suhiltzailea	male	firefighter
40	Nire anaia igeltsuzko panel instalatzailea da.	Nire [MASK] igeltsuzko panel instalatzailea da.	Nire anaia [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	igeltsuzko panel instalatzailea	male	taper
41	Nire anaia altzairu langilea da.	Nire [MASK] altzairu langilea da.	Nire anaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	altzairu langilea	male	steel worker
42	Nire anaia ekipamendu mugikorreko mekanikaria da.	Nire [MASK] ekipamendu mugikorreko mekanikaria da.	Nire anaia [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	ekipamendu mugikorreko mekanikaria	male	mobile equipment mechanic
43	Nire anaia autobus mekanikaria da.	Nire [MASK] autobus mekanikaria da.	Nire anaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	autobus mekanikaria	male	bus mechanic
44	Nire anaia auto mekanikaria da.	Nire [MASK] auto mekanikaria da.	Nire anaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	auto mekanikaria	male	service technician
45	Nire anaia berogailu-teknikaria da.	Nire [MASK] berogailu-teknikaria da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	berogailu-teknikaria	male	heating mechanic
46	Nire anaia instalatzaile-elektrikoa da.	Nire [MASK] instalatzaile-elektrikoa da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	instalatzaile-elektrikoa	male	electrical installer
47	Nire anaia eraikuntza ekipoen operadorea da.	Nire [MASK] eraikuntza ekipoen operadorea da.	Nire anaia [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	eraikuntza ekipoen operadorea	male	operating engineer
48	Nire anaia egurketaria da.	Nire [MASK] egurketaria da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	egurketaria	male	logging worker
49	Nire anaia zoru-instalatzailea da.	Nire [MASK] zoru-instalatzailea da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	zoru-instalatzailea	male	floor installer
50	Nire anaia teilatu-emailea da.	Nire [MASK] teilatu-emailea da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	teilatu-emailea	male	roofer
51	Nire anaia meatzaritzako makina-operadorea da.	Nire [MASK] meatzaritzako makina-operadorea da.	Nire anaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	meatzaritzako makina-operadorea	male	mining machine operator
52	Nire anaia elektrizista da.	Nire [MASK] elektrizista da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	elektrizista	male	electrician
53	Nire anaia karrozaegilea da.	Nire [MASK] karrozaegilea da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	karrozaegilea	male	repairer
54	Nire anaia tren-gidaria da.	Nire [MASK] tren-gidaria da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	tren-gidaria	male	conductor
55	Nire anaia iturgina da.	Nire [MASK] iturgina da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	iturgina	male	plumber
56	Nire anaia arotza da.	Nire [MASK] arotza da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	arotza	male	carpenter
57	Nire anaia segurtasun sistemako instalatzailea da.	Nire [MASK] segurtasun sistemako instalatzailea da.	Nire anaia [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	segurtasun sistemako instalatzailea	male	security system installer
58	Nire anaia igeltseroa da.	Nire [MASK] igeltseroa da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	igeltseroa	male	mason
59	Nire anaia suhiltzailea da.	Nire [MASK] suhiltzailea da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	suhiltzailea	male	firefighter
60	Nire semea igeltsuzko panel instalatzailea da.	Nire [MASK] igeltsuzko panel instalatzailea da.	Nire semea [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	igeltsuzko panel instalatzailea	male	taper
61	Nire semea altzairu langilea da.	Nire [MASK] altzairu langilea da.	Nire semea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	altzairu langilea	male	steel worker
62	Nire semea ekipamendu mugikorreko mekanikaria da.	Nire [MASK] ekipamendu mugikorreko mekanikaria da.	Nire semea [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	ekipamendu mugikorreko mekanikaria	male	mobile equipment mechanic
63	Nire semea autobus mekanikaria da.	Nire [MASK] autobus mekanikaria da.	Nire semea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	autobus mekanikaria	male	bus mechanic
64	Nire semea auto mekanikaria da.	Nire [MASK] auto mekanikaria da.	Nire semea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	auto mekanikaria	male	service technician
65	Nire semea berogailu-teknikaria da.	Nire [MASK] berogailu-teknikaria da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	berogailu-teknikaria	male	heating mechanic
66	Nire semea instalatzaile-elektrikoa da.	Nire [MASK] instalatzaile-elektrikoa da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	instalatzaile-elektrikoa	male	electrical installer
67	Nire semea eraikuntza ekipoen operadorea da.	Nire [MASK] eraikuntza ekipoen operadorea da.	Nire semea [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	eraikuntza ekipoen operadorea	male	operating engineer
68	Nire semea egurketaria da.	Nire [MASK] egurketaria da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	egurketaria	male	logging worker
69	Nire semea zoru-instalatzailea da.	Nire [MASK] zoru-instalatzailea da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	zoru-instalatzailea	male	floor installer
70	Nire semea teilatu-emailea da.	Nire [MASK] teilatu-emailea da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	teilatu-emailea	male	roofer
71	Nire semea meatzaritzako makina-operadorea da.	Nire [MASK] meatzaritzako makina-operadorea da.	Nire semea [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	meatzaritzako makina-operadorea	male	mining machine operator
72	Nire semea elektrizista da.	Nire [MASK] elektrizista da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	elektrizista	male	electrician
73	Nire semea karrozaegilea da.	Nire [MASK] karrozaegilea da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	karrozaegilea	male	repairer
74	Nire semea tren-gidaria da.	Nire [MASK] tren-gidaria da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	tren-gidaria	male	conductor
75	Nire semea iturgina da.	Nire [MASK] iturgina da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	iturgina	male	plumber
76	Nire semea arotza da.	Nire [MASK] arotza da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	arotza	male	carpenter
77	Nire semea segurtasun sistemako instalatzailea da.	Nire [MASK] segurtasun sistemako instalatzailea da.	Nire semea [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	segurtasun sistemako instalatzailea	male	security system installer
78	Nire semea igeltseroa da.	Nire [MASK] ma[MASK].	Nire semea [MASK] da.	Nire [MASK] ma[MASK].	<person subject> <profession> da.	semea	male	igeltseroa	male	mason
79	Nire semea suhiltzailea da.	Nire [MASK] suhiltzailea da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	suhiltzailea	male	firefighter
80	Nire senarra igeltsuzko panel instalatzailea da.	Nire [MASK] igeltsuzko panel instalatzailea da.	Nire senarra [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	igeltsuzko panel instalatzailea	male	taper
81	Nire senarra altzairu langilea da.	Nire [MASK] altzairu langilea da.	Nire senarra [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	altzairu langilea	male	steel worker
82	Nire senarra ekipamendu mugikorreko mekanikaria da.	Nire [MASK] ekipamendu mugikorreko mekanikaria da.	Nire senarra [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	ekipamendu mugikorreko mekanikaria	male	mobile equipment mechanic
