	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN
0	Él es un instalador de paneles de yeso.	[MASK] es un instalador de paneles de yeso.	Él es un [MASK] [MASK] [MASK] [MASK] [MASK].	[MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	Él	male	instalador de paneles de yeso	male	taper
1	Él es un trabajador del acero.	[MASK] es un trabajador del acero.	Él es un [MASK] [MASK] [MASK].	[MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	Él	male	trabajador del acero	male	steel worker
2	Él es un mecánico de equipos móviles.	[MASK] es un mecánico de equipos móviles.	Él es un [MASK] [MASK] [MASK] [MASK].	[MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	Él	male	mecánico de equipos móviles	male	mobile equipment mechanic
3	Él es un mecánico de autobuses.	[MASK] es un mecánico de autobuses.	Él es un [MASK] [MASK] [MASK].	[MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	Él	male	mecánico de autobuses	male	bus mechanic
4	Él es un técnico de servicios.	[MASK] es un técnico de servicios.	Él es un [MASK] [MASK] [MASK].	[MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	Él	male	técnico de servicios	male	service technician
5	Él es un técnico de calefacción.	[MASK] es un técnico de calefacción.	Él es un [MASK] [MASK] [MASK].	[MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	Él	male	técnico de calefacción	male	heating mechanic
6	Él es un instalador eléctrico.	[MASK] es un instalador eléctrico.	Él es un [MASK] [MASK].	[MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	Él	male	instalador eléctrico	male	electrical installer
7	Él es un ingeniero de operaciones.	[MASK] es un ingeniero de operaciones.	Él es un [MASK] [MASK] [MASK].	[MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	Él	male	ingeniero de operaciones	male	operating engineer
8	Él es un trabajador maderero.	[MASK] es un trabajador maderero.	Él es un [MASK] [MASK].	[MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	Él	male	trabajador maderero	male	logging worker
9	Él es un instalador de suelos.	[MASK] es un instalador de suelos.	Él es un [MASK] [MASK] [MASK].	[MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	Él	male	instalador de suelos	male	floor installer
